gene frequency 
ENSG00000205791.3 2
ENSG00000205629.10 2
ENSG00000205269.5 2
ENSG00000205268.9 2
ENSG00000205208.4 2
ENSG00000205133.10 2
ENSG00000205060.9 2
ENSG00000204977.8 2
ENSG00000204843.11 2
ENSG00000204576.10 2
ENSG00000204564.10 2
ENSG00000204338.7 2
ENSG00000204120.13 2
ENSG00000203797.8 2
ENSG00000203780.9 2
ENSG00000201302.1 2
ENSG00000199477.1 2
ENSG00000198939.6 2
ENSG00000198909.6 2
ENSG00000198901.12 2
ENSG00000198894.6 2
ENSG00000198874.11 2
ENSG00000198837.8 2
ENSG00000198826.9 2
ENSG00000198818.8 2
ENSG00000198815.7 2
ENSG00000198799.10 2
ENSG00000198793.11 2
ENSG00000198771.9 2
ENSG00000198743.5 2
ENSG00000198740.7 2
ENSG00000198718.11 2
ENSG00000198689.8 2
ENSG00000198646.12 2
ENSG00000198604.9 2
ENSG00000198585.10 2
ENSG00000198554.10 2
ENSG00000198521.10 2
ENSG00000198223.13 2
ENSG00000198113.2 2
ENSG00000198040.9 2
ENSG00000198026.7 2
ENSG00000198015.11 2
ENSG00000198000.10 2
ENSG00000197951.7 2
ENSG00000197943.8 2
ENSG00000197927.11 2
ENSG00000197782.13 2
ENSG00000197712.10 2
ENSG00000197702.10 2
ENSG00000197603.12 2
ENSG00000197579.6 2
ENSG00000197548.11 2
ENSG00000197535.13 2
ENSG00000197279.3 2
ENSG00000197223.10 2
ENSG00000197121.13 2
ENSG00000197044.9 2
ENSG00000197037.9 2
ENSG00000197024.7 2
ENSG00000196943.11 2
ENSG00000196922.9 2
ENSG00000196914.7 2
ENSG00000196810.4 2
ENSG00000196712.15 2
ENSG00000196693.13 2
ENSG00000196678.12 2
ENSG00000196663.14 2
ENSG00000196655.8 2
ENSG00000196652.10 2
ENSG00000196628.12 2
ENSG00000196584.2 2
ENSG00000196547.13 2
ENSG00000196510.11 2
ENSG00000196504.14 2
ENSG00000196367.11 2
ENSG00000196312.10 2
ENSG00000196247.10 2
ENSG00000196236.11 2
ENSG00000196204.10 2
ENSG00000196072.10 2
ENSG00000189114.6 2
ENSG00000189079.14 2
ENSG00000189057.9 2
ENSG00000188917.13 2
ENSG00000188895.10 2
ENSG00000188868.12 2
ENSG00000188760.9 2
ENSG00000188690.11 2
ENSG00000188677.13 2
ENSG00000188647.11 2
ENSG00000188641.11 2
ENSG00000188070.9 2
ENSG00000187688.13 2
ENSG00000187257.13 2
ENSG00000186951.15 2
ENSG00000186866.15 2
ENSG00000186814.11 2
ENSG00000186625.12 2
ENSG00000186469.7 2
ENSG00000186153.15 2
ENSG00000186132.13 2
ENSG00000186104.9 2
ENSG00000185950.8 2
ENSG00000185880.11 2
ENSG00000185875.11 2
ENSG00000185774.13 2
ENSG00000185722.15 2
ENSG00000185670.7 2
ENSG00000185658.12 2
ENSG00000185596.15 2
ENSG00000185591.8 2
ENSG00000185515.13 2
ENSG00000185453.11 2
ENSG00000185404.15 2
ENSG00000185379.19 2
ENSG00000185361.7 2
ENSG00000185305.9 2
ENSG00000185220.10 2
ENSG00000185187.11 2
ENSG00000185129.5 2
ENSG00000185019.15 2
ENSG00000184992.10 2
ENSG00000184939.14 2
ENSG00000184924.5 2
ENSG00000184916.7 2
ENSG00000184903.8 2
ENSG00000184863.9 2
ENSG00000184661.12 2
ENSG00000184436.10 2
ENSG00000184209.14 2
ENSG00000184182.17 2
ENSG00000184083.10 2
ENSG00000184056.13 2
ENSG00000184014.6 2
ENSG00000183963.17 2
ENSG00000183856.9 2
ENSG00000183826.15 2
ENSG00000183621.14 2
ENSG00000183597.14 2
ENSG00000183495.12 2
ENSG00000183475.11 2
ENSG00000183397.5 2
ENSG00000183346.6 2
ENSG00000183309.10 2
ENSG00000183161.4 2
ENSG00000183155.4 2
ENSG00000183049.11 2
ENSG00000183020.12 2
ENSG00000182973.17 2
ENSG00000182903.14 2
ENSG00000182858.12 2
ENSG00000182700.4 2
ENSG00000182534.12 2
ENSG00000182504.9 2
ENSG00000182484.13 2
ENSG00000182378.11 2
ENSG00000182359.13 2
ENSG00000182318.5 2
ENSG00000182158.13 2
ENSG00000182150.14 2
ENSG00000181915.4 2
ENSG00000181827.13 2
ENSG00000181804.13 2
ENSG00000181754.6 2
ENSG00000181666.16 2
ENSG00000181555.18 2
ENSG00000181472.4 2
ENSG00000181350.10 2
ENSG00000181220.14 2
ENSG00000181135.14 2
ENSG00000181004.8 2
ENSG00000180917.15 2
ENSG00000180628.13 2
ENSG00000180543.4 2
ENSG00000180448.9 2
ENSG00000180340.6 2
ENSG00000180233.10 2
ENSG00000180104.14 2
ENSG00000179981.9 2
ENSG00000179979.8 2
ENSG00000179943.7 2
ENSG00000179912.18 2
ENSG00000179715.11 2
ENSG00000179627.9 2
ENSG00000179562.2 2
ENSG00000179409.9 2
ENSG00000179387.8 2
ENSG00000179335.17 2
ENSG00000179152.17 2
ENSG00000179151.10 2
ENSG00000179044.14 2
ENSG00000178977.3 2
ENSG00000178974.8 2
ENSG00000178921.12 2
ENSG00000178425.12 2
ENSG00000178229.7 2
ENSG00000178127.11 2
ENSG00000177990.10 2
ENSG00000177917.9 2
ENSG00000177853.13 2
ENSG00000177613.8 2
ENSG00000177485.6 2
ENSG00000177337.6 2
ENSG00000177283.5 2
ENSG00000177125.5 2
ENSG00000177084.15 2
ENSG00000176994.10 2
ENSG00000176915.13 2
ENSG00000176783.13 2
ENSG00000176454.12 2
ENSG00000176293.18 2
ENSG00000176182.5 2
ENSG00000176170.12 2
ENSG00000175970.8 2
ENSG00000175893.10 2
ENSG00000175727.12 2
ENSG00000175470.17 2
ENSG00000175455.13 2
ENSG00000175395.14 2
ENSG00000175283.7 2
ENSG00000175279.20 2
ENSG00000175137.10 2
ENSG00000175048.15 2
ENSG00000174989.11 2
ENSG00000174953.12 2
ENSG00000174839.11 2
ENSG00000174738.11 2
ENSG00000174606.11 2
ENSG00000174233.10 2
ENSG00000174106.2 2
ENSG00000174004.5 2
ENSG00000173715.14 2
ENSG00000173653.6 2
ENSG00000173638.17 2
ENSG00000173614.12 2
ENSG00000173517.9 2
ENSG00000173451.5 2
ENSG00000173320.8 2
ENSG00000173218.13 2
ENSG00000173065.12 2
