gene frequency
ENSG00000092068.17 3
ENSG00000091490.9 3
ENSG00000088832.13 3
ENSG00000088298.11 3
ENSG00000088179.7 3
ENSG00000086189.8 3
ENSG00000084093.14 3
ENSG00000083093.8 3
ENSG00000082516.8 3
ENSG00000081913.12 3
ENSG00000081791.7 3
ENSG00000081386.11 3
ENSG00000081377.15 3
ENSG00000081014.9 3
ENSG00000080815.17 3
ENSG00000080345.16 3
ENSG00000079819.15 3
ENSG00000079387.12 3
ENSG00000076554.14 3
ENSG00000075856.10 3
ENSG00000075413.16 3
ENSG00000074842.6 3
ENSG00000072803.16 3
ENSG00000072786.11 3
ENSG00000072274.11 3
ENSG00000072210.17 3
ENSG00000072121.14 3
ENSG00000071246.9 3
ENSG00000071242.10 3
ENSG00000071054.14 3
ENSG00000070610.13 3
ENSG00000070214.14 3
ENSG00000070061.13 3
ENSG00000067900.6 3
ENSG00000067596.9 3
ENSG00000067248.8 3
ENSG00000067167.6 3
ENSG00000066933.14 3
ENSG00000066739.10 3
ENSG00000066044.12 3
ENSG00000065518.7 3
ENSG00000065485.16 3
ENSG00000064726.8 3
ENSG00000064652.9 3
ENSG00000064300.7 3
ENSG00000063601.15 3
ENSG00000062716.9 3
ENSG00000062194.14 3
ENSG00000060749.13 3
ENSG00000060339.12 3
ENSG00000058272.14 3
ENSG00000058063.14 3
ENSG00000056586.14 3
ENSG00000055917.14 3
ENSG00000055609.16 3
ENSG00000055332.15 3
ENSG00000054116.10 3
ENSG00000053770.10 3
ENSG00000053371.11 3
ENSG00000053254.14 3
ENSG00000048991.15 3
ENSG00000048828.15 3
ENSG00000048028.10 3
ENSG00000047644.16 3
ENSG00000047315.13 3
ENSG00000041988.14 3
ENSG00000034713.6 3
ENSG00000026297.14 3
ENSG00000025293.14 3
ENSG00000023445.12 3
ENSG00000022567.8 3
ENSG00000020256.18 3
ENSG00000017260.18 3
ENSG00000013306.14 3
ENSG00000012061.14 3
ENSG00000010244.15 3
ENSG00000009954.9 3
ENSG00000008869.10 3
ENSG00000008283.14 3
ENSG00000007202.13 3
ENSG00000006327.12 3
ENSG00000005810.16 3
ENSG00000005156.10 3
ENSG00000005100.11 3
ENSG00000004455.15 3
ENSG00000002834.16 3
ENSG00000002330.12 3
ENSG00000281912.1 2
ENSG00000280254.1 2
ENSG00000280187.1 2
ENSG00000280120.1 2
ENSG00000279140.1 2
ENSG00000278784.1 2
ENSG00000278600.1 2
ENSG00000278107.1 2
ENSG00000278053.3 2
ENSG00000277972.1 2
ENSG00000277632.1 2
ENSG00000277476.1 2
ENSG00000277310.1 2
ENSG00000277161.1 2
ENSG00000277072.3 2
ENSG00000276846.1 2
ENSG00000276529.1 2
ENSG00000276293.3 2
ENSG00000276234.3 2
ENSG00000275832.3 2
ENSG00000275494.1 2
ENSG00000275457.1 2
ENSG00000275410.3 2
ENSG00000275066.3 2
ENSG00000275023.3 2
ENSG00000274828.1 2
ENSG00000274265.3 2
ENSG00000273619.1 2
ENSG00000273015.2 2
ENSG00000272886.4 2
ENSG00000272686.1 2
ENSG00000272579.1 2
ENSG00000272398.4 2
ENSG00000272368.2 2
ENSG00000272335.1 2
ENSG00000272288.4 2
ENSG00000272106.1 2
ENSG00000271976.1 2
ENSG00000271869.1 2
ENSG00000271780.1 2
ENSG00000271503.4 2
ENSG00000271133.4 2
ENSG00000270170.1 2
ENSG00000270006.2 2
ENSG00000269609.4 2
ENSG00000269246.1 2
ENSG00000268205.1 2
ENSG00000267855.4 2
ENSG00000267673.5 2
ENSG00000267419.1 2
ENSG00000266967.5 2
ENSG00000266472.4 2
ENSG00000266094.5 2
ENSG00000266028.6 2
ENSG00000265241.5 2
ENSG00000265107.2 2
ENSG00000264350.1 2
ENSG00000264247.1 2
ENSG00000263597.1 2
ENSG00000263563.4 2
ENSG00000263001.4 2
ENSG00000261799.1 2
ENSG00000261652.2 2
ENSG00000261455.1 2
ENSG00000261061.1 2
ENSG00000260912.1 2
ENSG00000260549.1 2
ENSG00000260314.2 2
ENSG00000260081.1 2
ENSG00000259943.1 2
ENSG00000259291.2 2
ENSG00000257704.3 2
ENSG00000257698.1 2
ENSG00000257621.6 2
