ENSG00000197746.12	PSAP
ENSG00000266053.2	
ENSG00000146963.16	LUC7L2
ENSG00000105486.12	LIG1
ENSG00000166578.8	IQCD
ENSG00000076242.13	MLH1
ENSG00000135083.13	CCNJL
ENSG00000141446.9	ESCO1
ENSG00000182117.5	NOP10
ENSG00000186889.8	TMEM17
ENSG00000152217.15	SETBP1
ENSG00000130939.17	UBE4B
ENSG00000232388.4	SMIM26
ENSG00000032219.17	ARID4A
ENSG00000103723.11	AP3B2
ENSG00000131473.15	ACLY
ENSG00000170049.8	KCNAB3
ENSG00000226479.3	TMEM185B
ENSG00000165995.17	CACNB2
ENSG00000236753.4	
ENSG00000108557.16	RAI1
ENSG00000068697.6	LAPTM4A
ENSG00000270006.2	
ENSG00000088808.15	PPP1R13B
ENSG00000100416.11	TRMU
ENSG00000269293.2	
ENSG00000166927.11	MS4A7
ENSG00000182095.13	TNRC18
ENSG00000072506.11	HSD17B10
ENSG00000134852.13	CLOCK
ENSG00000087245.11	MMP2
ENSG00000110367.10	DDX6
ENSG00000111880.14	RNGTT
ENSG00000080819.5	CPOX
ENSG00000278611.1	
ENSG00000124608.4	AARS2
ENSG00000154920.13	EME1
ENSG00000100393.9	EP300
ENSG00000165490.11	DDIAS
ENSG00000114125.12	RNF7
ENSG00000130429.11	ARPC1B
ENSG00000080986.11	NDC80
ENSG00000157191.18	NECAP2
ENSG00000197019.4	SERTAD1
ENSG00000071054.14	MAP4K4
ENSG00000205791.3	
ENSG00000189423.10	
ENSG00000170290.3	SLN
ENSG00000183578.5	TNFAIP8L3
ENSG00000200090.1	
ENSG00000111110.10	PPM1H
ENSG00000135074.14	ADAM19
ENSG00000053254.14	FOXN3
ENSG00000147130.13	ZMYM3
ENSG00000140264.18	SERF2
ENSG00000124198.8	ARFGEF2
ENSG00000182853.10	VMO1
ENSG00000114120.10	SLC25A36
ENSG00000153207.13	AHCTF1
ENSG00000086102.17	NFX1
ENSG00000154582.15	ELOC
ENSG00000182504.9	CEP97
ENSG00000166557.11	TMED3
ENSG00000118096.6	IFT46
ENSG00000114648.10	KLHL18
ENSG00000132164.8	SLC6A11
ENSG00000117480.14	FAAH
ENSG00000121417.12	ZNF211
ENSG00000099364.15	FBXL19
ENSG00000111707.10	SUDS3
ENSG00000109390.10	NDUFC1
ENSG00000179902.11	C1orf194
ENSG00000196693.13	ZNF33B
ENSG00000182400.13	TRAPPC6B
ENSG00000112769.17	LAMA4
ENSG00000123352.16	SPATS2
ENSG00000141034.8	GID4
ENSG00000187605.14	TET3
ENSG00000277363.3	SRCIN1
ENSG00000166405.13	RIC3
ENSG00000039123.14	MTREX
ENSG00000252743.1	
ENSG00000111843.12	TMEM14C
ENSG00000114209.13	PDCD10
ENSG00000102908.19	NFAT5
ENSG00000247134.5	
ENSG00000139926.14	FRMD6
ENSG00000143147.13	GPR161
ENSG00000152749.7	GPR180
ENSG00000198908.10	BHLHB9
ENSG00000126756.10	UXT
ENSG00000138468.14	SENP7
ENSG00000100580.7	TMED8
ENSG00000177084.15	POLE
ENSG00000280649.1	
ENSG00000078142.10	PIK3C3
ENSG00000239213.4	
ENSG00000126264.8	HCST
ENSG00000157933.9	SKI
ENSG00000168679.16	SLC16A4
ENSG00000002919.13	SNX11
ENSG00000151276.22	MAGI1
ENSG00000162704.14	ARPC5
ENSG00000169783.11	LINGO1
ENSG00000164466.11	SFXN1
ENSG00000006634.6	DBF4
ENSG00000143158.9	MPC2
ENSG00000065559.13	MAP2K4
ENSG00000130208.8	APOC1
ENSG00000146802.11	TMEM168
ENSG00000136404.14	TM6SF1
ENSG00000185591.8	SP1
ENSG00000105519.11	CAPS
ENSG00000075856.10	SART3
ENSG00000051523.9	CYBA
ENSG00000166851.13	PLK1
ENSG00000141644.16	MBD1
ENSG00000051108.13	HERPUD1
ENSG00000196126.9	HLA-DRB1
ENSG00000270231.3	
ENSG00000277072.3	
ENSG00000187479.5	C11orf96
ENSG00000162998.4	FRZB
ENSG00000118007.11	STAG1
ENSG00000135362.12	PRR5L
ENSG00000100106.18	TRIOBP
ENSG00000100796.16	PPP4R3A
ENSG00000155744.8	FAM126B
ENSG00000166341.7	DCHS1
ENSG00000196154.10	S100A4
ENSG00000196542.7	SPTSSB
ENSG00000113761.10	ZNF346
ENSG00000158470.5	B4GALT5
ENSG00000205363.5	INSYN1
ENSG00000184983.8	NDUFA6
ENSG00000153832.10	FBXO36
ENSG00000138279.14	ANXA7
ENSG00000152558.13	TMEM123
ENSG00000185681.11	MORN5
ENSG00000257704.3	INAFM1
ENSG00000183475.11	ASB7
ENSG00000099365.8	STX1B
ENSG00000004975.10	DVL2
ENSG00000138101.17	DTNB
ENSG00000166477.11	LEO1
ENSG00000264350.1	
ENSG00000075218.17	GTSE1
ENSG00000100479.11	POLE2
ENSG00000181222.13	POLR2A
ENSG00000007923.14	DNAJC11
ENSG00000150977.10	RILPL2
ENSG00000275457.1	
ENSG00000176845.11	METRNL
ENSG00000168995.12	SIGLEC7
ENSG00000118058.19	KMT2A
ENSG00000163939.17	PBRM1
ENSG00000104312.7	RIPK2
ENSG00000101216.9	GMEB2
