ENSG00000013374.14	NUB1
ENSG00000197037.9	ZSCAN25
ENSG00000148444.14	COMMD3
ENSG00000165219.20	GAPVD1
ENSG00000145833.14	DDX46
ENSG00000011454.15	RABGAP1
ENSG00000127980.14	PEX1
ENSG00000128059.7	PPAT
ENSG00000147100.8	SLC16A2
ENSG00000122707.10	RECK
ENSG00000166148.3	AVPR1A
ENSG00000186395.6	KRT10
ENSG00000079689.12	SCGN
ENSG00000124541.6	RRP36
ENSG00000134072.9	CAMK1
ENSG00000164978.16	NUDT2
ENSG00000168993.13	CPLX1
ENSG00000132436.10	FIGNL1
ENSG00000228589.3	
ENSG00000104356.9	POP1
ENSG00000156265.14	MAP3K7CL
ENSG00000097046.11	CDC7
ENSG00000018610.12	CXorf56
ENSG00000072062.12	PRKACA
ENSG00000169641.12	LUZP1
ENSG00000105879.10	CBLL1
ENSG00000271122.1	
ENSG00000113810.14	SMC4
ENSG00000167395.10	ZNF646
ENSG00000132170.18	PPARG
ENSG00000197937.11	ZNF347
ENSG00000092820.16	EZR
ENSG00000129675.14	ARHGEF6
ENSG00000227077.3	
ENSG00000151474.18	FRMD4A
ENSG00000136940.12	PDCL
ENSG00000114405.9	C3orf14
ENSG00000165733.7	BMS1
ENSG00000136942.13	RPL35
ENSG00000080815.17	PSEN1
ENSG00000175283.7	DOLK
ENSG00000147180.15	ZNF711
ENSG00000198689.8	SLC9A6
ENSG00000070669.15	ASNS
ENSG00000119917.12	IFIT3
ENSG00000164125.14	GASK1B
ENSG00000170214.3	ADRA1B
ENSG00000185627.16	PSMD13
ENSG00000251562.6	
ENSG00000168874.11	ATOH8
ENSG00000100592.14	DAAM1
ENSG00000159761.13	C16orf86
ENSG00000170919.14	
ENSG00000164867.9	NOS3
ENSG00000097007.16	ABL1
ENSG00000167720.11	SRR
ENSG00000122692.8	SMU1
ENSG00000136891.12	TEX10
ENSG00000162522.9	KIAA1522
ENSG00000125676.18	THOC2
ENSG00000179242.14	CDH4
ENSG00000272894.4	
ENSG00000178996.11	SNX18
ENSG00000135049.14	AGTPBP1
ENSG00000173517.9	PEAK1
ENSG00000158747.12	NBL1
ENSG00000151576.9	QTRT2
ENSG00000142039.3	CCDC97
ENSG00000178074.5	C2orf69
ENSG00000174579.3	MSL2
ENSG00000126432.12	PRDX5
ENSG00000263753.5	
ENSG00000101343.13	CRNKL1
ENSG00000186866.15	POFUT2
ENSG00000090097.19	PCBP4
ENSG00000104904.11	OAZ1
ENSG00000176871.7	WSB2
