ENSG00000163866.8	SMIM12
ENSG00000114742.12	WDR48
ENSG00000067836.11	ROGDI
ENSG00000065911.10	MTHFD2
ENSG00000143740.13	SNAP47
ENSG00000186577.10	SMIM29
ENSG00000185551.11	NR2F2
ENSG00000054965.9	FAM168A
ENSG00000167693.15	NXN
ENSG00000130706.11	ADRM1
ENSG00000108523.14	RNF167
ENSG00000111605.15	CPSF6
ENSG00000164088.16	PPM1M
ENSG00000178567.7	EPM2AIP1
ENSG00000132589.14	FLOT2
ENSG00000008083.12	JARID2
ENSG00000119383.18	PTPA
ENSG00000133216.15	EPHB2
ENSG00000114942.12	EEF1B2
ENSG00000115355.14	CCDC88A
ENSG00000073711.9	PPP2R3A
ENSG00000110911.13	SLC11A2
ENSG00000167981.5	ZNF597
ENSG00000183340.6	JRKL
ENSG00000091073.18	DTX2
ENSG00000067082.13	KLF6
ENSG00000125505.15	MBOAT7
ENSG00000224051.5	CPTP
ENSG00000125503.11	PPP1R12C
ENSG00000004142.10	POLDIP2
ENSG00000131711.13	MAP1B
ENSG00000173540.11	GMPPB
ENSG00000133398.3	MED10
ENSG00000187601.4	MAGEH1
ENSG00000105516.9	DBP
ENSG00000116704.7	SLC35D1
ENSG00000112739.15	PRPF4B
ENSG00000186908.13	ZDHHC17
ENSG00000153046.16	CDYL
ENSG00000110841.12	PPFIBP1
ENSG00000132591.10	ERAL1
ENSG00000273343.1	
ENSG00000154640.13	BTG3
ENSG00000170759.10	KIF5B
ENSG00000175061.16	
ENSG00000007402.10	CACNA2D2
ENSG00000085185.14	BCORL1
ENSG00000149403.10	GRIK4
ENSG00000146842.15	TMEM209
ENSG00000122644.11	ARL4A
ENSG00000101911.11	PRPS2
ENSG00000138780.13	GSTCD
ENSG00000107295.9	SH3GL2
ENSG00000131732.10	ZCCHC9
ENSG00000185262.8	UBALD2
ENSG00000103018.15	CYB5B
ENSG00000163686.12	ABHD6
ENSG00000122591.10	FAM126A
ENSG00000198498.8	TMA16
ENSG00000126368.5	NR1D1
ENSG00000196372.11	ASB13
ENSG00000137177.17	KIF13A
ENSG00000273027.1	
ENSG00000261353.1	
ENSG00000111667.12	USP5
ENSG00000139405.14	RITA1
ENSG00000136052.8	SLC41A2
ENSG00000130349.8	MTRES1
ENSG00000184557.4	SOCS3
ENSG00000123989.12	CHPF
ENSG00000197747.7	S100A10
ENSG00000178397.11	FAM220A
ENSG00000197062.10	ZSCAN26
ENSG00000081913.12	PHLPP1
ENSG00000271976.1	
ENSG00000198952.8	SMG5
ENSG00000113649.10	TCERG1
ENSG00000171208.8	NETO2
ENSG00000154734.13	ADAMTS1
ENSG00000182732.15	RGS6
ENSG00000182606.13	TRAK1
ENSG00000230409.3	
ENSG00000130724.7	CHMP2A
ENSG00000147065.15	MSN
ENSG00000228063.1	
ENSG00000145494.10	NDUFS6
ENSG00000164300.14	SERINC5
ENSG00000116035.2	VAX2
ENSG00000127952.15	STYXL1
ENSG00000197150.11	ABCB8
ENSG00000114268.10	PFKFB4
ENSG00000131446.14	MGAT1
ENSG00000166226.11	CCT2
ENSG00000147955.15	SIGMAR1
ENSG00000224318.4	
ENSG00000271452.1	
ENSG00000175497.15	DPP10
ENSG00000182872.14	RBM10
ENSG00000151746.12	BICD1
ENSG00000105254.10	TBCB
ENSG00000154914.15	USP43
ENSG00000021826.13	CPS1
ENSG00000105514.6	RAB3D
ENSG00000123836.13	PFKFB2
ENSG00000063015.18	SEZ6
ENSG00000273257.1	
ENSG00000130731.14	METTL26
ENSG00000100150.15	DEPDC5
ENSG00000110693.14	SOX6
ENSG00000162616.8	DNAJB4
ENSG00000149179.12	C11orf49
ENSG00000168701.17	TMEM208
ENSG00000060491.15	OGFR
ENSG00000106688.10	SLC1A1
ENSG00000142252.9	GEMIN7
ENSG00000115107.18	STEAP3
ENSG00000204386.9	NEU1
ENSG00000135297.14	MTO1
ENSG00000267475.1	
ENSG00000099284.12	MACROH2A2
ENSG00000137764.18	MAP2K5
ENSG00000112759.15	SLC29A1
ENSG00000164949.6	GEM
ENSG00000067221.12	STOML1
ENSG00000003056.6	M6PR
ENSG00000101493.9	ZNF516
